Year,Country1,Country2,GroupStage,Round1,Round2,Round3,Round4,Rounds,Score1,Score2,Day,Month,StartDay,StartMonth,EndDay,EndMonth,DisputesAfter,DisputesBefore
1966,West Germany,Switzerland,1,0,0,0,0,3,5,0,12,7,11,7,30,7,0,0
1966,Argentina,Spain,1,0,0,0,0,3,2,1,13,7,11,7,30,7,0,0
1966,Spain,Switzerland,1,0,0,0,0,3,2,1,15,7,11,7,30,7,0,0
1966,Argentina,West Germany,1,0,0,0,0,3,0,0,16,7,11,7,30,7,0,0
1966,Argentina,Switzerland,1,0,0,0,0,3,2,0,19,7,11,7,30,7,0,0
1966,West Germany,Spain,1,0,0,0,0,3,2,1,20,7,11,7,30,7,0,0
1966,Brazil,Bulgaria,1,0,0,0,0,3,2,0,12,7,11,7,30,7,0,0
1966,Portugal,Hungary,1,0,0,0,0,3,3,1,13,7,11,7,30,7,0,0
1966,Hungary,Brazil,1,0,0,0,0,3,3,1,15,7,11,7,30,7,0,0
1966,Portugal,Bulgaria,1,0,0,0,0,3,3,0,16,7,11,7,30,7,0,0
1966,Portugal,Brazil,1,0,0,0,0,3,3,1,19,7,11,7,30,7,0,0
1966,Hungary,Bulgaria,1,0,0,0,0,3,3,1,20,7,11,7,30,7,0,0
1966,Soviet Union,North Korea,1,0,0,0,0,3,3,0,12,7,11,7,30,7,0,0
1966,Italy,Chile,1,0,0,0,0,3,2,0,13,7,11,7,30,7,0,0
1966,Chile,North Korea,1,0,0,0,0,3,1,1,15,7,11,7,30,7,0,0
1966,Soviet Union,Italy,1,0,0,0,0,3,1,0,16,7,11,7,30,7,0,0
1966,North Korea,Italy,1,0,0,0,0,3,1,0,19,7,11,7,30,7,0,0
1966,Soviet Union,Chile,1,0,0,0,0,3,2,1,20,7,11,7,30,7,0,0
1966,United Kingdom,Argentina,0,0,1,0,0,3,1,0,23,7,11,7,30,7,0,0
1966,Portugal,North Korea,0,0,1,0,0,3,5,0,23,7,11,7,30,7,0,0
1966,West Germany,Uruguay,0,0,1,0,0,3,4,0,23,7,11,7,30,7,0,0
1966,Soviet Union,Hungary,0,0,1,0,0,3,2,1,23,7,11,7,30,7,0,0
1966,United Kingdom,Portugal,0,0,1,0,0,3,2,1,26,7,11,7,30,7,0,1
1966,West Germany,Soviet Union,0,0,1,0,0,3,2,1,25,7,11,7,30,7,0,1
1966,United Kingdom,West Germany,0,0,1,0,0,3,4,2,30,7,11,7,30,7,0,0
1966,Portugal,Soviet Union,0,0,1,0,0,3,2,1,28,7,11,7,30,7,0,0
1970,Mexico,Soviet Union,1,0,0,0,0,3,0,0,31,5,31,5,21,6,0,0
1970,Belgium,El Salvador,1,0,0,0,0,3,3,0,3,6,31,5,21,6,0,0
1970,Soviet Union,Belgium,1,0,0,0,0,3,4,1,6,6,31,5,21,6,0,0
1970,Mexico,El Salvador,1,0,0,0,0,3,4,0,7,6,31,5,21,6,0,0
1970,Soviet Union,El Salvador,1,0,0,0,0,3,2,0,10,6,31,5,21,6,0,0
1970,Mexico,Belgium,1,0,0,0,0,3,1,0,11,6,31,5,21,6,0,0
1970,Uruguay,Israel,1,0,0,0,0,3,2,0,2,6,31,5,21,6,0,0
1970,Italy,Sweden,1,0,0,0,0,3,1,0,3,6,31,5,21,6,0,0
1970,Uruguay,Italy,1,0,0,0,0,3,0,0,6,6,31,5,21,6,0,0
1970,Sweden,Israel,1,0,0,0,0,3,1,1,7,6,31,5,21,6,0,0
1970,Sweden,Uruguay,1,0,0,0,0,3,1,0,10,6,31,5,21,6,0,0
1970,Israel,Italy,1,0,0,0,0,3,0,0,11,6,31,5,21,6,0,0
1970,United Kingdom,Romania,1,0,0,0,0,3,1,0,2,6,31,5,21,6,0,0
1970,Brazil,Czechoslovakia,1,0,0,0,0,3,4,1,3,6,31,5,21,6,0,0
1970,Romania,Czechoslovakia,1,0,0,0,0,3,2,1,6,6,31,5,21,6,1,0
1970,Brazil,United Kingdom,1,0,0,0,0,3,1,0,7,6,31,5,21,6,0,0
1970,Brazil,Romania,1,0,0,0,0,3,3,2,10,6,31,5,21,6,0,0
1970,United Kingdom,Czechoslovakia,1,0,0,0,0,3,1,0,11,6,31,5,21,6,0,0
1970,Peru,Bulgaria,1,0,0,0,0,3,3,2,2,6,31,5,21,6,0,0
1970,West Germany,Morocco,1,0,0,0,0,3,2,1,3,6,31,5,21,6,0,0
1970,Peru,Morocco,1,0,0,0,0,3,3,0,6,6,31,5,21,6,0,0
1970,West Germany,Bulgaria,1,0,0,0,0,3,5,2,7,6,31,5,21,6,0,0
1970,West Germany,Peru,1,0,0,0,0,3,3,1,10,6,31,5,21,6,0,0
1970,Bulgaria,Morocco,1,0,0,0,0,3,1,1,11,6,31,5,21,6,0,0
1970,Uruguay,Soviet Union,0,0,1,0,0,3,1,0,14,6,31,5,21,6,0,0
1970,Brazil,Peru,0,0,1,0,0,3,4,2,14,6,31,5,21,6,0,0
1970,Italy,Mexico,0,0,1,0,0,3,4,1,14,6,31,5,21,6,0,0
1970,West Germany,United Kingdom,0,0,1,0,0,3,3,2,14,6,31,5,21,6,0,0
1970,Brazil,Uruguay,0,0,0,1,0,3,3,1,17,6,31,5,21,6,0,0
1970,Italy,West Germany,0,0,0,1,0,3,4,3,17,6,31,5,21,6,0,0
1970,Brazil,Italy,0,0,0,0,1,3,4,1,21,6,31,5,21,6,0,0
1970,West Germany,Uruguay,0,0,0,0,1,3,1,0,20,6,31,5,21,6,0,0
1974,West Germany,Chile,1,0,0,0,0,2,1,0,14,6,13,6,7,7,0,0
1974,East Germany,Australia,1,0,0,0,0,2,2,0,14,6,13,6,7,7,0,0
1974,West Germany,Australia,1,0,0,0,0,2,3,0,18,6,13,6,7,7,0,0
1974,Chile,East Germany,1,0,0,0,0,2,1,1,18,6,13,6,7,7,0,0
1974,Australia,Chile,1,0,0,0,0,2,0,0,22,6,13,6,7,7,0,0
1974,East Germany,West Germany,1,0,0,0,0,2,1,0,22,6,13,6,7,7,0,0
1974,Brazil,Yugoslavia,1,0,0,0,0,2,0,0,13,6,13,6,7,7,0,0
1974,Scotland,Zaire,1,0,0,0,0,2,2,0,14,6,13,6,7,7,0,0
1974,Yugoslavia,Zaire,1,0,0,0,0,2,9,0,18,6,13,6,7,7,0,0
1974,Scotland,Brazil,1,0,0,0,0,2,0,0,18,6,13,6,7,7,0,0
1974,Yugoslavia,Scotland,1,0,0,0,0,2,1,1,22,6,13,6,7,7,0,0
1974,Brazil,Zaire,1,0,0,0,0,2,3,0,22,6,13,6,7,7,0,0
1974,Netherlands,Uruguay,1,0,0,0,0,2,2,0,15,6,13,6,7,7,0,0
1974,Sweden,Bulgaria,1,0,0,0,0,2,0,0,15,6,13,6,7,7,0,0
1974,Bulgaria,Uruguay,1,0,0,0,0,2,1,1,19,6,13,6,7,7,0,0
1974,Netherlands,Sweden,1,0,0,0,0,2,0,0,19,6,13,6,7,7,0,0
1974,Netherlands,Bulgaria,1,0,0,0,0,2,4,1,23,6,13,6,7,7,0,0
1974,Sweden,Uruguay,1,0,0,0,0,2,3,0,23,6,13,6,7,7,0,0
1974,Italy,Haiti,1,0,0,0,0,2,3,1,15,6,13,6,7,7,0,0
1974,Poland,Argentina,1,0,0,0,0,2,3,2,15,6,13,6,7,7,0,0
1974,Argentina,Italy,1,0,0,0,0,2,1,1,19,6,13,6,7,7,0,0
1974,Poland,Haiti,1,0,0,0,0,2,7,0,19,6,13,6,7,7,0,0
1974,Argentina,Haiti,1,0,0,0,0,2,4,1,23,6,13,6,7,7,0,0
1974,Poland,Italy,1,0,0,0,0,2,2,1,23,6,13,6,7,7,0,0
1974,Netherlands,Argentina,1,0,0,0,0,2,4,0,26,6,13,6,7,7,0,0
1974,Brazil,East Germany,1,0,0,0,0,2,1,0,26,6,13,6,7,7,0,0
1974,Brazil,Argentina,1,0,0,0,0,2,2,1,30,6,13,6,7,7,0,0
1974,Netherlands,East Germany,0,0,0,1,0,2,2,0,30,6,13,6,7,7,0,0
1974,Argentina,East Germany,0,0,0,1,0,2,1,1,3,7,13,6,7,7,0,0
1974,Netherlands,Brazil,0,0,0,1,0,2,2,0,3,7,13,6,7,7,0,0
1974,West Germany,Yugoslavia,0,0,0,1,0,2,2,0,26,6,13,6,7,7,0,0
1974,Poland,Sweden,0,0,0,1,0,2,1,0,26,6,13,6,7,7,0,0
1974,Poland,Yugoslavia,0,0,0,1,0,2,2,1,30,6,13,6,7,7,0,0
1974,West Germany,Sweden,0,0,0,1,0,2,4,2,30,6,13,6,7,7,0,0
1974,West Germany,Poland,0,0,0,1,0,2,1,0,3,7,13,6,7,7,0,0
1974,Sweden,Yugoslavia,0,0,0,1,0,2,2,1,3,7,13,6,7,7,0,0
1974,West Germany,Netherlands,0,0,0,0,1,2,2,1,7,7,13,6,7,7,0,0
1974,Poland,Brazil,0,0,0,0,1,2,1,0,6,7,13,6,7,7,0,0
1978,Italy,France,1,0,0,0,0,2,2,1,2,6,1,6,25,6,0,0
1978,Argentina,Hungary,1,0,0,0,0,2,2,1,2,6,1,6,25,6,0,0
1978,Italy,Hungary,1,0,0,0,0,2,3,1,6,6,1,6,25,6,0,0
1978,Argentina,France,1,0,0,0,0,2,2,1,6,6,1,6,25,6,0,0
1978,France,Hungary,1,0,0,0,0,2,3,1,10,6,1,6,25,6,0,0
1978,Italy,Argentina,1,0,0,0,0,2,1,0,10,6,1,6,25,6,0,0
1978,West Germany,Poland,1,0,0,0,0,2,0,0,1,6,1,6,25,6,0,0
1978,Tunisia,Mexico,1,0,0,0,0,2,3,1,2,6,1,6,25,6,0,0
1978,West Germany,Mexico,1,0,0,0,0,2,6,0,6,6,1,6,25,6,0,0
1978,Poland,Tunisia,1,0,0,0,0,2,1,0,6,6,1,6,25,6,0,0
1978,West Germany,Tunisia,1,0,0,0,0,2,0,0,10,6,1,6,25,6,0,0
1978,Poland,Mexico,1,0,0,0,0,2,3,1,10,6,1,6,25,6,0,0
1978,Austria,Spain,1,0,0,0,0,2,2,1,3,6,1,6,25,6,0,0
1978,Brazil,Sweden,1,0,0,0,0,2,1,1,3,6,1,6,25,6,0,0
1978,Austria,Sweden,1,0,0,0,0,2,1,0,7,6,1,6,25,6,0,0
1978,Brazil,Spain,1,0,0,0,0,2,0,0,7,6,1,6,25,6,0,0
1978,Spain,Sweden,1,0,0,0,0,2,1,0,11,6,1,6,25,6,0,0
1978,Brazil,Austria,1,0,0,0,0,2,1,0,11,6,1,6,25,6,0,0
1978,Peru,Scotland,1,0,0,0,0,2,3,1,3,6,1,6,25,6,0,0
1978,Netherlands,Iran,1,0,0,0,0,2,3,0,3,6,1,6,25,6,0,0
1978,Scotland,Iran,1,0,0,0,0,2,1,1,7,6,1,6,25,6,0,0
1978,Netherlands,Peru,1,0,0,0,0,2,0,0,7,6,1,6,25,6,0,0
1978,Peru,Iran,1,0,0,0,0,2,4,1,11,6,1,6,25,6,0,0
1978,Scotland,Netherlands,1,0,0,0,0,2,3,2,11,6,1,6,25,6,0,0
1978,Netherlands,Austria,0,0,0,1,0,2,5,1,14,6,1,6,25,6,0,0
1978,Italy,West Germany,0,0,0,1,0,2,0,0,14,6,1,6,25,6,0,0
1978,Netherlands,West Germany,0,0,0,1,0,2,2,2,18,6,1,6,25,6,0,0
1978,Italy,Austria,0,0,0,1,0,2,1,0,18,6,1,6,25,6,0,0
1978,Austria,West Germany,0,0,0,1,0,2,3,2,21,6,1,6,25,6,0,0
1978,Netherlands,Italy,0,0,0,1,0,2,2,1,21,6,1,6,25,6,0,0
1978,Brazil,Peru,0,0,0,1,0,2,3,0,14,6,1,6,25,6,0,0
1978,Argentina,Poland,0,0,0,1,0,2,2,0,14,6,1,6,25,6,0,0
1978,Poland,Peru,0,0,0,1,0,2,1,0,18,6,1,6,25,6,0,0
1978,Argentina,Brazil,0,0,0,1,0,2,0,0,18,6,1,6,25,6,0,0
1978,Brazil,Poland,0,0,0,1,0,2,3,1,21,6,1,6,25,6,0,0
1978,Argentina,Peru,0,0,0,1,0,2,6,0,21,6,1,6,25,6,0,0
1978,Argentina,Netherlands,0,0,0,0,1,2,3,1,25,6,1,6,25,6,0,0
1978,Brazil,Italy,0,0,0,0,1,2,2,1,24,6,1,6,25,6,0,0
1982,Italy,Poland,1,0,0,1,0,3,0,0,14,6,13,6,11,7,0,0
1982,Peru,Cameroon,1,0,0,0,0,3,0,0,15,6,13,6,11,7,0,0
